name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories
Foundation Social Eatery,4.5,312,34.0192794799805,-84.3125762939453,30076,1448007259,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]"
Table & Main,4.5,273,34.026538,-84.361914,30075,1460349618,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Dessert', alias=u'desserts'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]"
The Freakin Incan,4.5,45,34.06742,-84.42712,30075,,"[Category(name=u'Food Truck', alias=u'foodtrucks'), Category(name=u'Restaurant P\xe9ruvien', alias=u'peruvian')]"
Salt Factory,4.0,316,34.024672,-84.361789,30075,1442023444,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Pub gastronomique', alias=u'gastropubs')]"
Asian Kitchen,4.5,82,34.0049208558202,-84.2938169047719,30076,,"[Category(name=u'Restaurant Asiatique', alias=u'asianfusion')]"
Peach & the Porkchop,4.0,124,34.0735568,-84.3627679,30075,,"[Category(name=u'Bar', alias=u'bars'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Pub gastronomique', alias=u'gastropubs')]"
Yeero Village,4.0,98,34.0643446635992,-84.4241365251312,30075,,"[Category(name=u'Restaurant Grec', alias=u'greek'), Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean')]"
Vin 25,4.5,101,34.0268237895339,-84.3603873252869,30075,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Bar \xe0 vins', alias=u'wine_bars')]"
Osteria Mattone,4.5,120,34.028478,-84.360902,30075,1460196243,"[Category(name=u'Restaurant Italien', alias=u'italian')]"
Brookwood Grill,4.0,194,34.0295105,-84.33564,30076,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]"
Roux On Canton,4.0,251,34.0243273633328,-84.3615998005924,30075,,"[Category(name=u'Restaurant Cr\xe9ole', alias=u'cajun'), Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern')]"
Krespo's Grill,4.5,14,34.0323542817917,-84.3517064315768,30075,,"[Category(name=u'Restaurant Portugais', alias=u'portuguese')]"
