name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories,City,State
Aviva by Kameel,5.0,572,33.7596640198116,-84.3875961619019,30303,1460112669,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Bar \xe0 jus de fruits & smoothies', alias=u'juicebars'), Category(name=u'Restaurant Moyen-Orient', alias=u'mideastern')]",Atlanta,GA
Neighborhood Eats,5.0,155,33.8043523704008,-84.3931704623732,30309,1460204179,"[Category(name=u'Burger', alias=u'burgers'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch'), Category(name=u'Sandwich', alias=u'sandwiches')]",Atlanta,GA
Dat Fire Jerk Chicken,4.5,42,33.7480784,-84.4050754,30313,,"[Category(name=u'Restaurant Carib\xe9en', alias=u'caribbean')]",Atlanta,GA
Poor Calvin's,4.5,998,33.768452,-84.3822579,30308,1460476944,"[Category(name=u'Tha\xef', alias=u'thai'), Category(name=u'Restaurant Asiatique', alias=u'asianfusion'), Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern')]",Atlanta,GA
Home Grown,4.5,589,33.74686,-84.35588,30316,1442072949,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern')]",Atlanta,GA
The Hungry Peach,5.0,24,33.817,-84.37502,30305,,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Atlanta,GA
The Food Shoppe,4.5,215,33.758484,-84.390079,30303,,"[Category(name=u'Restaurant Cr\xe9ole', alias=u'cajun')]",Atlanta,GA
Gusto! Wood Fire Grill,4.5,239,33.8072595673651,-84.3935118787768,30309,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean')]",Atlanta,GA
One Flew South,4.5,576,33.6407405712852,-84.4256830215454,30320,1450929642,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Restaurant Asiatique', alias=u'asianfusion')]",Atlanta,GA
South City Kitchen - Midtown,4.5,1284,33.7859992980957,-84.3845596313477,30309,1460570832,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch')]",Atlanta,GA
Gunshow,4.5,491,33.74072,-84.35786,30316,1453699381,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern')]",Atlanta,GA
Blossom Tree,4.5,157,33.7554945955001,-84.3891076100377,30303,,"[Category(name=u'Restaurant Cor\xe9en', alias=u'korean')]",Atlanta,GA
endive Publik house,4.5,107,33.7949724756827,-84.3999884629304,30309,1442205198,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Atlanta,GA
