name,rating,review_count,latitude,longitude,postal_code,menu_data_updated,categories,City,State
Henrys Louisiana Grill,4.5,446,34.06594849,-84.67778778,30101,1442001029,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Restaurant Cr\xe9ole', alias=u'cajun'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Acworth,GA
Reveille Coffeehouse Cafe,4.5,78,33.99840927,-84.70700073,30101,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch')]",Acworth,GA
Fish Thyme,4.5,128,34.050728,-84.663654,30101,,"[Category(name=u'Caf\xe9', alias=u'cafes'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Acworth,GA
Stoner Burger,4,85,34.07442,-84.64919,30101,,"[Category(name=u'Burger', alias=u'burgers')]",Acworth,GA
Trackside Taqueria,4.5,45,34.06401828,-84.6719829,30101,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Acworth,GA
Volcano Steak & Sushi Acworth,4,58,33.99548942,-84.70594436,30101,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Restaurant Grill', alias=u'steak')]",Acworth,GA
Huey Luey's Mexican Kitchen & Margarita Bar,4,99,34.0355487,-84.6791568,30101,1460227432,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Acworth,GA
Thai Ginger,4.5,87,34.08162,-84.57523,30102,,"[Category(name=u'Tha\xef', alias=u'thai')]",Acworth,GA
Henrys Louisiana Grill,4.5,446,34.06594849,-84.67778778,30101,1442001029,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Restaurant Cr\xe9ole', alias=u'cajun'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Acworth,GA
Stoner Burger,4,85,34.07442,-84.64919,30101,,"[Category(name=u'Burger', alias=u'burgers')]",Acworth,GA
Fish Thyme,4.5,128,34.050728,-84.663654,30101,,"[Category(name=u'Caf\xe9', alias=u'cafes'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Acworth,GA
Trackside Taqueria,4.5,45,34.06401828,-84.6719829,30101,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Acworth,GA
Thai Ginger,4.5,87,34.08162,-84.57523,30102,,"[Category(name=u'Tha\xef', alias=u'thai')]",Acworth,GA
Huey Luey's Mexican Kitchen & Margarita Bar,4,99,34.0355487,-84.6791568,30101,1460227432,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Acworth,GA
The Dogwood Terrace,4,22,34.066746,-84.682167,30101,,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Salles et espaces \xe9v\xe9nementiels', alias=u'venues'), Category(name=u'Petit d\xe9jeuner & brunch', alias=u'breakfast_brunch')]",Acworth,GA
Taqueria El Don,4.5,27,34.0876007,-84.5771561,30102,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Acworth,GA
Volcano Steak & Sushi Acworth,4,58,33.99548942,-84.70594436,30101,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Restaurant Grill', alias=u'steak')]",Acworth,GA
Uncle C's Rib Joint,4.5,12,34.08778,-84.57965,30102,1455169803,"[Category(name=u'Viandes et Barbecue', alias=u'bbq')]",Acworth,GA
Rico's Mex Mex,4,72,34.06441,-84.65988,30101,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Acworth,GA
Parkside Italian Kitchen,3.5,61,34.0510797,-84.6632807,30101,,"[Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Pizza', alias=u'pizza')]",Acworth,GA
Center Street Tavern,3.5,40,34.06544,-84.6774,30101,1460097538,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican')]",Acworth,GA
Thai Basil Sushi Zen,4,58,34.03594971,-84.67698669,30101,1442374422,"[Category(name=u'Tha\xef', alias=u'thai')]",Acworth,GA
Capo's NY Pizza & Italian Restaurant,4,57,34.03920364,-84.68983459,30101,1442027114,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Restaurant Italien', alias=u'italian')]",Acworth,GA
Rio Balsas Taqueria,5,32,34.06845584,-84.29926008,30009,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Alpharetta,GA
House of Hummus Mediterranean Cafe,4.5,157,34.0496761,-84.2819902,30022,,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Restaurant Grec', alias=u'greek'), Category(name=u'Restaurant Libanais', alias=u'lebanese')]",Alpharetta,GA
Bite Bistro  Bar,4,196,34.06206894,-84.22556305,30005,1460090628,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Bar', alias=u'bars')]",Alpharetta,GA
The Bowl,4,55,34.0614357,-84.2429657,30005,1460231962,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
South Main Kitchen,4,139,34.0752949,-84.294886,30009,1442228183,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
Sushi Uchi,4.5,93,33.98529085,-84.27053625,30022,,"[Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Restaurant Japonais', alias=u'japanese')]",Alpharetta,GA
Anabelle's Table,4,33,34.08843693,-84.26548946,30004,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
El Trompo Mexican Taqueria,4.5,127,34.070262,-84.207107,30005,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Alpharetta,GA
Jerusalem Bakery & Grill,4.5,279,34.060126,-84.237632,30005,,"[Category(name=u'Restaurant Moyen-Orient', alias=u'mideastern'), Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Restaurant Halal', alias=u'halal')]",Alpharetta,GA
Collet French Pastry & Cafe,4.5,215,34.070402,-84.293058,30009,,"[Category(name=u'Restaurant Fran\xe7ais', alias=u'french'), Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Caf\xe9', alias=u'cafes')]",Alpharetta,GA
Mojito Cafe,4,87,34.01935435,-84.27803278,30022,1460022639,"[Category(name=u'Restaurant Cubain', alias=u'cuban'), Category(name=u'Caf\xe9 et th\xe9', alias=u'coffee'), Category(name=u'Restaurant Am\xe9rique latine', alias=u'latin')]",Alpharetta,GA
Teriyaki Grill House,4.5,33,34.06424534,-84.25165851,30005,,"[Category(name=u'Restaurant Japonais', alias=u'japanese')]",Alpharetta,GA
Sushi Mania,4.5,63,34.02314758,-84.25158691,30022,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]",Alpharetta,GA
Rio Balsas Taqueria,5,32,34.06845584,-84.29926008,30009,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Alpharetta,GA
Bite Bistro  Bar,4,196,34.06206894,-84.22556305,30005,1460090628,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Bar', alias=u'bars')]",Alpharetta,GA
The Bowl,4,55,34.0614357,-84.2429657,30005,1460231962,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
El Trompo Mexican Taqueria,4.5,127,34.070262,-84.207107,30005,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Alpharetta,GA
House of Hummus Mediterranean Cafe,4.5,157,34.0496761,-84.2819902,30022,,"[Category(name=u'Restaurant M\xe9diterran\xe9en', alias=u'mediterranean'), Category(name=u'Restaurant Grec', alias=u'greek'), Category(name=u'Restaurant Libanais', alias=u'lebanese')]",Alpharetta,GA
Anabelle's Table,4,33,34.08843693,-84.26548946,30004,,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
South Main Kitchen,4,139,34.0752949,-84.294886,30009,1442228183,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican')]",Alpharetta,GA
Jerusalem Bakery & Grill,4.5,279,34.060126,-84.237632,30005,,"[Category(name=u'Restaurant Moyen-Orient', alias=u'mideastern'), Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Restaurant Halal', alias=u'halal')]",Alpharetta,GA
Teriyaki Grill House,4.5,33,34.06424534,-84.25165851,30005,,"[Category(name=u'Restaurant Japonais', alias=u'japanese')]",Alpharetta,GA
Sushi Uchi,4.5,93,33.98529085,-84.27053625,30022,,"[Category(name=u'Sushi', alias=u'sushi'), Category(name=u'Restaurant Japonais', alias=u'japanese')]",Alpharetta,GA
Collet French Pastry & Cafe,4.5,215,34.070402,-84.293058,30009,,"[Category(name=u'Restaurant Fran\xe7ais', alias=u'french'), Category(name=u'Boulanger & P\xe2tissier', alias=u'bakeries'), Category(name=u'Caf\xe9', alias=u'cafes')]",Alpharetta,GA
Wildflour,4,152,34.08732224,-84.25527954,30005,,"[Category(name=u'Sandwich', alias=u'sandwiches')]",Alpharetta,GA
Fry Me 2 The Moon,4.5,50,34.155697,-84.245657,30004,,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood')]",Alpharetta,GA
Campania,4.5,206,34.093273,-84.282498,30009,1460125260,"[Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Bar \xe0 vins', alias=u'wine_bars')]",Alpharetta,GA
Kozmo Gastro Pub,4,199,34.0722017,-84.20582034,30005,1459238709,"[Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Burger', alias=u'burgers'), Category(name=u'Pub gastronomique', alias=u'gastropubs')]",Alpharetta,GA
Sushi Mania,4.5,63,34.02314758,-84.25158691,30022,,"[Category(name=u'Restaurant Japonais', alias=u'japanese'), Category(name=u'Sushi', alias=u'sushi')]",Alpharetta,GA
Moctezuma Mexican Grill,4.5,33,34.09666043,-84.26042396,30004,,"[Category(name=u'Restaurant Mexicain', alias=u'mexican')]",Alpharetta,GA
Mojito Cafe,4,87,34.01935435,-84.27803278,30022,1460022639,"[Category(name=u'Restaurant Cubain', alias=u'cuban'), Category(name=u'Caf\xe9 et th\xe9', alias=u'coffee'), Category(name=u'Restaurant Am\xe9rique latine', alias=u'latin')]",Alpharetta,GA
Pampas Steakhouse,4,198,34.04799,-84.22509,30022,1442264163,"[Category(name=u'Restaurant Grill', alias=u'steak')]",Alpharetta,GA
Crust Pasta & Pizzeria,4,181,34.0717349,-84.297438,30009,1442205503,"[Category(name=u'Salade', alias=u'salad'), Category(name=u'Pizza', alias=u'pizza'), Category(name=u'Restaurant Italien', alias=u'italian')]",Alpharetta,GA
Vito's Pizza & Ristorante,4.5,70,34.063839,-84.2522202,30005,1459904314,"[Category(name=u'Restaurant Italien', alias=u'italian'), Category(name=u'Pizza', alias=u'pizza')]",Alpharetta,GA
Bombay Flames,4,161,34.03791428,-84.29624176,30022,,"[Category(name=u'Restaurant Indien', alias=u'indpak'), Category(name=u'Buffet', alias=u'buffets')]",Alpharetta,GA
Mambo's Cafe,4,94,34.09642773,-84.28045592,30004,1442113759,"[Category(name=u'Restaurant Cubain', alias=u'cuban'), Category(name=u'Restaurant P\xe9ruvien', alias=u'peruvian')]",Alpharetta,GA
Hop Alley Brew Pub,4,192,34.0752124,-84.2945802,30009,,"[Category(name=u'Pubs', alias=u'pubs'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Brasseur', alias=u'breweries')]",Alpharetta,GA
Windward Tavern,4,32,34.09189792,-84.20641536,30005,1460251507,"[Category(name=u'Restaurant Am\xe9ricain (traditionnel)', alias=u'tradamerican'), Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Deli', alias=u'delis')]",Alpharetta,GA
BoneHeads,4.5,30,34.08732224,-84.25527954,30005,,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Sandwich', alias=u'sandwiches'), Category(name=u'Salade', alias=u'salad')]",Alpharetta,GA
Milton's Cuisine & Cocktails,4,178,34.09071,-84.33908,30009,1460554837,"[Category(name=u'Cuisine du sud des \xc9tats-Unis', alias=u'southern'), Category(name=u'Restaurant Am\xe9ricain', alias=u'newamerican'), Category(name=u'Bar \xe0 Cocktails', alias=u'cocktailbars')]",Alpharetta,GA
Atlantic Seafood Company,4,191,34.037293,-84.307066,30022,1442264201,"[Category(name=u'Restaurant de fruits de mer', alias=u'seafood'), Category(name=u'Sushi', alias=u'sushi')]",Alpharetta,GA
